,carrier,p_nom,bus,year_removed
DE0 1 coal,coal,336.0,DE0 1,2067.0
DE0 1 coal,coal,433.0,DE0 1,2055.0
DE0 A coal,coal,717.0,DE0 A,2031.0
DE0 4 coal,coal,89.0,DE0 4,2040.0
DE0 4 coal,coal,282.0,DE0 4,2037.0
DE0 4 coal,coal,282.0,DE0 4,2038.0
DE0 C coal,coal,726.0,DE0 C,2033.0
DE0 9 coal,coal,43.3,DE0 9,2034.0
DE0 9 coal,coal,119.0,DE0 9,2039.0
DE0 9 coal,coal,303.0,DE0 9,2029.0
DE0 9 coal,coal,350.0,DE0 9,2039.0
DE0 A coal,coal,370.0,DE0 A,2038.0
DE0 A coal,coal,725.0,DE0 A,2063.0
DE0 2 coal,coal,17.4,DE0 2,2032.0
DE0 F coal,coal,31.0,DE0 F,2042.0
DE0 F coal,coal,33.0,DE0 F,2039.0
DE0 F coal,coal,33.0,DE0 F,2035.0
DE0 7 coal,coal,61.5,DE0 7,2038.0
DE0 7 coal,coal,61.5,DE0 7,2039.0
DE0 A coal,coal,70.0,DE0 A,2035.0
DE0 7 coal,coal,510.0,DE0 7,2042.0
DE0 F coal,coal,194.0,DE0 F,2043.0
DE0 F coal,coal,123.0,DE0 F,2032.0
DE0 F coal,coal,137.0,DE0 F,2031.0
DE0 A coal,coal,763.7,DE0 A,2064.0
DE0 9 coal,coal,136.0,DE0 9,2039.0
DE0 9 coal,coal,136.0,DE0 9,2039.0
DE0 1 coal,coal,125.0,DE0 1,2035.0
DE0 1 coal,coal,125.0,DE0 1,2036.0
DE0 1 coal,coal,778.0,DE0 1,2055.0
DE0 A coal,coal,449.0,DE0 A,2059.0
DE0 9 coal,coal,690.0,DE0 9,2049.0
DE0 A coal,coal,794.0,DE0 A,2055.0
DE0 7 coal,coal,66.0,DE0 7,2039.0
DE0 B coal,coal,13.4,DE0 B,2046.0
DE0 1 coal,coal,517.0,DE0 1,2055.0
DE0 1 coal,coal,834.0,DE0 1,2064.0
DE0 A coal,coal,110.0,DE0 A,2021.0
DE0 1 coal,coal,255.0,DE0 1,2055.0
DE0 1 coal,coal,425.0,DE0 1,2032.0
DE0 1 coal,coal,435.0,DE0 1,2043.0
DE0 1 coal,coal,843.0,DE0 1,2065.0
DE0 A coal,coal,55.56,DE0 A,2021.0
DE0 A coal,coal,68.4,DE0 A,2033.0
DE0 7 coal,coal,54.0,DE0 7,2040.0
DE0 A coal,coal,875.0,DE0 A,2037.0
DE0 1 coal,coal,26.9,DE0 1,2040.0
DE0 C coal,coal,655.6,DE0 C,2026.0
DE0 8 coal,coal,514.0,DE0 8,2044.0
DE0 C coal,coal,50.0,DE0 C,2058.0
DE0 2 coal,coal,24.79,DE0 2,2020.0
DE0 1 coal,coal,45.0,DE0 1,2032.0
DE0 1 coal,coal,45.0,DE0 1,2034.0
DE0 2 coal,coal,332.7,DE0 2,2041.0
DE0 C coal,coal,179.0,DE0 C,2032.0
DE0 C coal,coal,211.0,DE0 C,2039.0
DE0 1 coal,coal,96.0,DE0 1,2034.0
DE0 1 coal,coal,148.0,DE0 1,2037.0
DE0 9 coal,coal,757.0,DE0 9,2026.0
DE0 7 coal,coal,61.5,DE0 7,2050.0
DE0 9 coal,coal,61.5,DE0 9,2050.0
DE0 7 coal,coal,138.5,DE0 7,2035.0
DE0 9 coal,coal,138.5,DE0 9,2035.0
DE0 2 coal,coal,472.0,DE0 2,2055.0
DE0 1 coal,coal,20.7,DE0 1,2042.0
DE0 A coal,coal,735.0,DE0 A,2063.0
DE0 F coal,coal,800.0,DE0 F,2065.0
DE0 F coal,coal,800.0,DE0 F,2065.0
DE0 9 coal,coal,731.0,DE0 9,2065.0
